id,name,cmc,cost,type,rarity,abilities,text,power,toughness,rating
143,Strength from the Fallen,2,{1}{G},Enchantment,Uncommon,Constellation,"Constellation- Whenever Strength from the Fallen or another enchantment enters the battlefield under your control, target creature gets +X/+X until end of turn, where X is the number of creature cards in your graveyard.",,,7
144,Swarmborn Giant,4,{2}{G}{G},Creature - Giant,Uncommon,"Monstrosity, Reach","When you're dealt combat damage, sacrifice Swarmborn Giant.<br>{4}{G}{G}: Monstrosity 2. <i>(If this creature isn't monstrous, put two +1/+1 counters on it and it becomes monstrous.)</i><br>As long as Swarmborn Giant is monstrous, it has reach.",6,6,10
145,"Ajani, Mentor of Heroes",5,{3}{G}{W},Planeswalker - Ajani,Mythic Rare,,"+1: Distribute three +1/+1 counters among one, two, or three target creatures you control.<br>+1: Look at the top four cards of your library. You may reveal an Aura, creature, or planeswalker card from among them and put it into your hand. Put the rest on the bottom of your library in any order.<br>-8: You gain 100 life.",,4,8
146,"Athreos, God of Passage",3,{1}{W}{B},Legendary Enchantment Creature - God,Mythic Rare,"Indestructible, Devotion","Indestructible<br>As long as your devotion to white and black is less than seven, Athreos isn't a creature.<br>Whenever another creature you own dies, return it to your hand unless target opponent pays 3 life.",5,4,4
147,Desperate Stand,2,{R}{W},Sorcery,Uncommon,"Strive, First Strike, Vigilance",Strive- Desperate Stand costs {R}{W} more to cast for each target beyond the first.<br>Any number of target creatures each get +2/+0 and gain first strike and vigilance until end of turn.,,,8
148,Disciple of Deceit,2,{U}{B},Creature - Human Rogue,Uncommon,Inspired,"Inspired- Whenever Disciple of Deceit becomes untapped, you may discard a nonland card. If you do, search your library for a card with the same converted mana cost as that card, reveal it, put it into your hand, then shuffle your library.",1,3,9
149,Fleetfeather Cockatrice,5,{3}{G}{U},Creature - Cockatrice,Uncommon,"Flash, Flying, Deathtouch, Monstrosity","Flash <i>(You may cast this spell any time you could cast an instant.)</i><br>Flying, deathtouch<br>{5}{G}{U}: Monstrosity 3. <i>(If this creature isn't monstrous, put three +1/+1 counters on it and it becomes monstrous.)</i>",3,3,9
150,"Iroas, God of Victory",4,{2}{R}{W},Legendary Enchantment Creature - God,Mythic Rare,"Indestructible, Devotion","Indestructible<br>As long as your devotion to red and white is less than seven, Iroas isn't a creature.<br>Creatures you control can't be blocked except by two or more creatures.<br>Prevent all damage that would be dealt to attacking creatures you control.",7,4,10
151,"Keranos, God of Storms",5,{3}{U}{R},Legendary Enchantment Creature - God,Mythic Rare,"Indestructible, Devotion","Indestructible<br>As long as your devotion to blue and red is less than seven, Keranos isn't a creature.<br>Reveal the first card you draw on each of your turns. Whenever you reveal a land card this way, draw a card. Whenever you reveal a nonland card this way, Keranos deals 3 damage to target creature or player.",6,5,5
152,"Kruphix, God of Horizons",5,{3}{G}{U},Legendary Enchantment Creature - God,Mythic Rare,"Indestructible, Devotion","Indestructible<br>As long as your devotion to green and blue is less than seven, Kruphix isn't a creature.<br>You have no maximum hand size.<br>If unused mana would empty from your mana pool, that mana becomes colorless instead.",4,7,9
153,Nyx Weaver,3,{1}{B}{G},Enchantment Creature - Spider,Uncommon,Reach,"Reach<br>At the beginning of your upkeep, put the top two cards of your library into your graveyard.<br>{1}{B}{G}, Exile Nyx Weaver: Return target card from your graveyard to your hand.",2,3,7
154,"Pharika, God of Affliction",3,{1}{B}{G},Legendary Enchantment Creature - God,Mythic Rare,"Indestructible, Devotion, Deathtouch","Indestructible<br>As long as your devotion to black and green is less than seven, Pharika isn't a creature.<br>{B}{G}: Exile target creature card from a graveyard. Its owner puts a 1/1 black and green Snake enchantment creature token with deathtouch onto the battlefield.",5,5,12
155,Revel of the Fallen God,7,{3}{R}{R}{G}{G},Sorcery,Rare,Haste,Put four 2/2 red and green Satyr creature tokens with haste onto the battlefield.,,,8
156,Stormchaser Chimera,4,{2}{U}{R},Creature - Chimera,Uncommon,"Flying, Scry","Flying<br>{2}{U}{R}: Scry 1, then reveal the top card of your library. Stormchaser Chimera gets +X/+0 until end of turn, where X is that card's converted mana cost. <i>(To scry 1, look at the top card of your library, then you may put that card on the bottom of your library.)</i>",2,3,7
157,Underworld Coinsmith,2,{W}{B},Enchantment Creature - Human Cleric,Uncommon,Constellation,"Constellation- Whenever Underworld Coinsmith or another enchantment enters the battlefield under your control, you gain 1 life.<br>{W}{B}, Pay 1 life: Each opponent loses 1 life.",2,2,8
158,Armory of Iroas,2,{2},Artifact - Equipment,Uncommon,Equip,"Whenever equipped creature attacks, put a +1/+1 counter on it.<br>Equip {2}",,,8
159,Chariot of Victory,3,{3},Artifact - Equipment,Uncommon,"Equip, First Strike, Trample, Haste","Equipped creature has first strike, trample, and haste.<br>Equip {1}",,,8
160,Deserter's Quarters,2,{2},Artifact,Uncommon,,"You may choose not to untap Deserter's Quarters during your untap step.<br>{6}, {T}: Tap target creature. It doesn't untap during its controller's untap step for as long as Deserter's Quarters remains tapped.",,,9
161,Gold-Forged Sentinel,6,{6},Artifact Creature - Chimera,Uncommon,Flying,Flying,4,4,12
162,Hall of Triumph,3,{3},Legendary Artifact,Rare,,"As Hall of Triumph enters the battlefield, choose a color.<br>Creatures you control of the chosen color get +1/+1.",,,9
163,Mana Confluence,0,,Land,Rare,,"{T}, Pay 1 life: Add one mana of any color to your mana pool.",,,10
164,Temple of Epiphany,0,,Land,Rare,Scry,"Temple of Epiphany enters the battlefield tapped.<br>When Temple of Epiphany enters the battlefield, scry 1. <i>(Look at the top card of your library. You may put that card on the bottom of your library.)</i><br>{T}: Add {U} or {R} to your mana pool.",,,11
165,Temple of Malady,0,,Land,Rare,Scry,"Temple of Malady enters the battlefield tapped.<br>When Temple of Malady enters the battlefield, scry 1. <i>(Look at the top card of your library. You may put that card on the bottom of your library.)</i><br>{T}: Add {B} or {G} to your mana pool.",,,2
