id,name,cmc,cost,type,rarity,abilities,text,power,toughness,rating
136,Purphoros's Emissary,4,{3}{R},Enchantment Creature - Ox,Uncommon,Bestow,"Bestow {6}{R} <i>(If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)</i><br>Purphoros's Emissary can't be blocked except by two or more creatures.<br>Enchanted creature gets +3/+3 and can't be blocked except by two or more creatures.",3,3,11
137,Rage of Purphoros,5,{4}{R},Sorcery,Common,Scry,Rage of Purphoros deals 4 damage to target creature. It can't be regenerated this turn. Scry 1. <i>(Look at the top card of your library. You may put that card on the bottom of your library.)</i>,,,9
138,Rageblood Shaman,3,{1}{R}{R},Creature - Minotaur Shaman,Rare,Trample,Trample<br>Other Minotaur creatures you control get +1/+1 and have trample.,2,3,8
139,Satyr Rambler,2,{1}{R},Creature - Satyr,Common,Trample,Trample,2,1,8
140,Spark Jolt,1,{R},Instant,Common,Scry,Spark Jolt deals 1 damage to target creature or player. Scry 1. <i>(Look at the top card of your library. You may put that card on the bottom of your library.)</i>,,,8
141,Spearpoint Oread,3,{2}{R},Enchantment Creature - Nymph,Common,"Bestow, First Strike","Bestow {5}{R} <i>(If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)</i><br>First strike<br>Enchanted creature gets +2/+2 and has first strike.",2,2,9
142,Stoneshock Giant,5,{3}{R}{R},Creature - Giant,Uncommon,Monstrosity,"{6}{R}{R}: Monstrosity 3. <i>(If this creature isn't monstrous, put three +1/+1 counters on it and it becomes monstrous.)</i><br>When Stoneshock Giant becomes monstrous, creatures without flying your opponents control can't block this turn.",5,4,10
143,Stormbreath Dragon,5,{3}{R}{R},Creature - Dragon,Mythic Rare,"Flying, Haste, Protection, Monstrosity","Flying, haste, protection from white<br>{5}{R}{R}: Monstrosity 3. <i>(If this creature isn't monstrous, put three +1/+1 counters on it and it becomes monstrous.)</i><br>When Stormbreath Dragon becomes monstrous, it deals damage to each opponent equal to the number of cards in that player's hand.",4,4,13
144,Titan of Eternal Fire,6,{5}{R},Creature - Giant,Rare,,"Each Human creature you control has ""{R}, {T}: This creature deals 1 damage to target creature or player.""",5,6,9
145,Titan's Strength,1,{R},Instant,Common,Scry,Target creature gets +3/+1 until end of turn. Scry 1. <i>(Look at the top card of your library. You may put that card on the bottom of your library.)</i>,,,8
146,Two-Headed Cerberus,3,{1}{R}{R},Creature - Hound,Common,Double Strike,Double strike <i>(This creature deals both first-strike and regular combat damage.)</i>,1,2,8
147,Wild Celebrants,5,{3}{R}{R},Creature - Satyr,Common,,"When Wild Celebrants enters the battlefield, you may destroy target artifact.",5,3,8
148,Agent of Horizons,3,{2}{G},Creature - Human Rogue,Common,,{2}{U}: Agent of Horizons can't be blocked this turn.,3,2,8
149,"Anthousa, Setessan Hero",5,{3}{G}{G},Legendary Creature - Human Warrior,Rare,Heroic,"Heroic- Whenever you cast a spell that targets Anthousa, Setessan Hero, up to three target lands you control each become 2/2 Warrior creatures until end of turn. They're still lands.",4,5,9
150,Arbor Colossus,5,{2}{G}{G}{G},Creature - Giant,Rare,"Reach, Monstrosity","Reach<br>{3}{G}{G}{G}: Monstrosity 3. <i>(If this creature isn't monstrous, put three +1/+1 counters on it and it becomes monstrous.)</i><br>When Arbor Colossus becomes monstrous, destroy target creature with flying an opponent controls.",6,6,11
151,Artisan's Sorrow,4,{3}{G},Instant,Uncommon,Scry,"Destroy target artifact or enchantment. Scry 2. <i>(Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)</i>",,,7
152,Boon Satyr,3,{1}{G}{G},Enchantment Creature - Satyr,Rare,"Flash, Bestow","Flash<br>Bestow {3}{G}{G} <i>(If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)</i><br>Enchanted creature gets +4/+2.",4,2,12
153,Bow of Nylea,3,{1}{G}{G},Legendary Enchantment Artifact,Rare,Deathtouch,"Attacking creatures you control have deathtouch.<br>{1}{G}, {T}: Choose one- Put a +1/+1 counter on target creature; or Bow of Nylea deals 2 damage to target creature with flying; or you gain 3 life; or put up to four target cards from your graveyard on the bottom of your library in any order.",,,12
154,Centaur Battlemaster,5,{3}{G}{G},Creature - Centaur Warrior,Uncommon,Heroic,"Heroic- Whenever you cast a spell that targets Centaur Battlemaster, put three +1/+1 counters on Centaur Battlemaster.",3,3,11
155,Commune with the Gods,2,{1}{G},Sorcery,Common,,Reveal the top five cards of your library. You may put a creature or enchantment card from among them into your hand. Put the rest into your graveyard.,,,6
156,Defend the Hearth,2,{1}{G},Instant,Common,,Prevent all combat damage that would be dealt to players this turn.,,,2
157,Fade into Antiquity,3,{2}{G},Sorcery,Common,,Exile target artifact or enchantment.,,,6
158,Feral Invocation,3,{2}{G},Enchantment - Aura,Common,"Flash, Enchant",Flash <i>(You may cast this spell any time you could cast an instant.)</i><br>Enchant creature<br>Enchanted creature gets +2/+2.,,,8
159,Hunt the Hunter,1,{G},Sorcery,Uncommon,Fight,Target green creature you control gets +2/+2 until end of turn. It fights target green creature an opponent controls.,,,2
160,Karametra's Acolyte,4,{3}{G},Creature - Human Druid,Uncommon,Devotion,{T}: Add an amount of {G} to your mana pool equal to your devotion to green. <i>(Each {G} in the mana costs of permanents you control counts toward your devotion to green.)</i>,1,4,7
161,Leafcrown Dryad,2,{1}{G},Enchantment Creature - Nymph Dryad,Common,"Bestow, Reach","Bestow {3}{G} <i>(If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)</i><br>Reach<br>Enchanted creature gets +2/+2 and has reach.",2,2,10
162,Mistcutter Hydra,1,{X}{G},Creature - Hydra,Rare,"Haste, Protection","Mistcutter Hydra can't be countered.<br>Haste, protection from blue<br>Mistcutter Hydra enters the battlefield with X +1/+1 counters on it.",0,0,9
163,Nemesis of Mortals,6,{4}{G}{G},Creature - Snake,Uncommon,Monstrosity,"Nemesis of Mortals costs {1} less to cast for each creature card in your graveyard.<br>{7}{G}{G}: Monstrosity 5. This ability costs {1} less to activate for each creature card in your graveyard. <i>(If this creature isn't monstrous, put five +1/+1 counters on it and it becomes monstrous.)</i>",5,5,10
164,Nessian Asp,5,{4}{G},Creature - Snake,Common,"Reach, Monstrosity","Reach<br>{6}{G}: Monstrosity 4. <i>(If this creature isn't monstrous, put four +1/+1 counters on it and it becomes monstrous.)</i>",4,5,9
165,Nessian Courser,3,{2}{G},Creature - Centaur Warrior,Common,,,3,3,8
166,"Nylea, God of the Hunt",4,{3}{G},Legendary Enchantment Creature - God,Mythic Rare,"Indestructible, Devotion, Trample","Indestructible<br>As long as your devotion to green is less than five, Nylea isn't a creature. <i>(Each {G} in the mana costs of permanents you control counts toward your devotion to green.)</i><br>Other creatures you control have trample.<br>{3}{G}: Target creature gets +2/+2 until end of turn.",6,6,11
167,Nylea's Disciple,4,{2}{G}{G},Creature - Centaur Archer,Common,Devotion,"When Nylea's Disciple enters the battlefield, you gain life equal to your devotion to green. <i>(Each {G} in the mana costs of permanents you control counts toward your devotion to green.)</i>",3,3,8
168,Nylea's Emissary,4,{3}{G},Enchantment Creature - Cat,Uncommon,"Bestow, Trample","Bestow {5}{G} <i>(If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached to a creature.)</i><br>Trample<br>Enchanted creature gets +3/+3 and has trample.",3,3,11
169,Nylea's Presence,2,{1}{G},Enchantment - Aura,Common,Enchant,"Enchant land<br>When Nylea's Presence enters the battlefield, draw a card.<br>Enchanted land is every basic land type in addition to its other types.",,,8
170,Ordeal of Nylea,2,{1}{G},Enchantment - Aura,Uncommon,Enchant,"Enchant creature<br>Whenever enchanted creature attacks, put a +1/+1 counter on it. Then if it has three or more +1/+1 counters on it, sacrifice Ordeal of Nylea.<br>When you sacrifice Ordeal of Nylea, search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle your library.",,,6
171,Pheres-Band Centaurs,5,{4}{G},Creature - Centaur Warrior,Common,,,3,7,6
172,"Polukranos, World Eater",4,{2}{G}{G},Legendary Creature - Hydra,Mythic Rare,Monstrosity,"{X}{X}{G}: Monstrosity X. <i>(If this creature isn't monstrous, put X +1/+1 counters on it and it becomes monstrous.)</i><br>When Polukranos, World Eater becomes monstrous, it deals X damage divided as you choose among any number of target creatures your opponents control. Each of those creatures deals damage equal to its power to Polukranos.",5,5,13
173,Reverent Hunter,3,{2}{G},Creature - Human Archer,Rare,Devotion,"When Reverent Hunter enters the battlefield, put a number of +1/+1 counters on it equal to your devotion to green. <i>(Each {G} in the mana costs of permanents you control counts toward your devotion to green.)</i>",1,1,10
174,Satyr Hedonist,2,{1}{G},Creature - Satyr,Common,,"{R}, Sacrifice Satyr Hedonist: Add {R}{R}{R} to your mana pool.",2,1,6
175,Satyr Piper,3,{2}{G},Creature - Satyr Rogue,Uncommon,,{3}{G}: Target creature must be blocked this turn if able.,2,1,6
176,Savage Surge,2,{1}{G},Instant,Common,,Target creature gets +2/+2 until end of turn. Untap that creature.,,,8
177,Sedge Scorpion,1,{G},Creature - Scorpion,Common,Deathtouch,Deathtouch <i>(Any amount of damage this deals to a creature is enough to destroy it.)</i>,1,1,8
178,Shredding Winds,3,{2}{G},Instant,Common,,Shredding Winds deals 7 damage to target creature with flying.,,,2
179,Staunch-Hearted Warrior,4,{3}{G},Creature - Human Warrior,Common,Heroic,"Heroic- Whenever you cast a spell that targets Staunch-Hearted Warrior, put two +1/+1 counters on Staunch-Hearted Warrior.",2,2,8
180,Sylvan Caryatid,2,{1}{G},Creature - Plant,Rare,"Defender, Hexproof","Defender, hexproof<br>{T}: Add one mana of any color to your mana pool.",0,3,8
181,Time to Feed,3,{2}{G},Sorcery,Common,Fight,"Choose target creature an opponent controls. When that creature dies this turn, you gain 3 life. Target creature you control fights that creature. <i>(Each deals damage equal to its power to the other.)</i>",,,8
182,Voyaging Satyr,2,{1}{G},Creature - Satyr Druid,Common,,{T}: Untap target land.,1,2,8
183,Vulpine Goliath,6,{4}{G}{G},Creature - Fox,Common,Trample,Trample,6,5,8
184,Warriors' Lesson,1,{G},Instant,Uncommon,,"Until end of turn, up to two target creatures you control each gain ""Whenever this creature deals combat damage to a player, draw a card.""",,,5
185,Akroan Hoplite,2,{R}{W},Creature - Human Soldier,Uncommon,,"Whenever Akroan Hoplite attacks, it gets +X/+0 until end of turn, where X is the number of attacking creatures you control.",1,2,8
186,Anax and Cymede,3,{1}{R}{W},Legendary Creature - Human Soldier,Rare,"First Strike, Vigilance, Heroic, Trample","First strike, vigilance<br>Heroic- Whenever you cast a spell that targets Anax and Cymede, creatures you control get +1/+1 and gain trample until end of turn.",3,2,12
187,Ashen Rider,8,{4}{W}{W}{B}{B},Creature - Archon,Mythic Rare,Flying,"Flying<br>When Ashen Rider enters the battlefield or dies, exile target permanent.",5,5,8
188,"Ashiok, Nightmare Weaver",3,{1}{U}{B},Planeswalker - Ashiok,Mythic Rare,,"+2: Exile the top three cards of target opponent's library.<br>-X: Put a creature card with converted mana cost X exiled with Ashiok, Nightmare Weaver onto the battlefield under your control. That creature is a Nightmare in addition to its other types.<br",,3,11
189,Battlewise Hoplite,2,{W}{U},Creature - Human Soldier,Uncommon,"Heroic, Scry","Heroic- Whenever you cast a spell that targets Battlewise Hoplite, put a +1/+1 counter on Battlewise Hoplite, then scry 1. <i>(To scry 1, look at the top card of your library, then you may put that card on the bottom of your library.)</i>",2,2,9
190,Chronicler of Heroes,3,{1}{G}{W},Creature - Centaur Wizard,Uncommon,,"When Chronicler of Heroes enters the battlefield, draw a card if you control a creature with a +1/+1 counter on it.",3,3,9
191,Daxos of Meletis,3,{1}{W}{U},Legendary Creature - Human Soldier,Rare,,"Daxos of Meletis can't be blocked by creatures with power 3 or greater.<br>Whenever Daxos of Meletis deals combat damage to a player, exile the top card of that player's library. You gain life equal to that card's converted mana cost. Until end of turn, you may cast that card and you may spend mana as though it were mana of any color to cast it.",2,2,9
192,Destructive Revelry,2,{R}{G},Instant,Uncommon,,Destroy target artifact or enchantment. Destructive Revelry deals 2 damage to that permanent's controller.,,,9
193,Fleecemane Lion,2,{G}{W},Creature - Cat,Rare,"Monstrosity, Hexproof, Indestructible","{3}{G}{W}: Monstrosity 1. <i>(If this creature isn't monstrous, put a +1/+1 counter on it and it becomes monstrous.)</i><br>As long as Fleecemane Lion is monstrous, it has hexproof and indestructible.",3,3,12
194,Horizon Chimera,4,{2}{G}{U},Creature - Chimera,Uncommon,"Flash, Flying, Trample","Flash <i>(You may cast this spell any time you could cast an instant.)</i><br>Flying, trample<br>Whenever you draw a card, you gain 1 life.",3,2,11
195,Kragma Warcaller,5,{3}{B}{R},Creature - Minotaur Warrior,Uncommon,Haste,"Minotaur creatures you control have haste.<br>Whenever a Minotaur you control attacks, it gets +2/+0 until end of turn.",2,3,9
196,Medomai the Ageless,6,{4}{W}{U},Legendary Creature - Sphinx,Mythic Rare,Flying,"Flying<br>Whenever Medomai the Ageless deals combat damage to a player, take an extra turn after this one.<br>Medomai the Ageless can't attack during extra turns.",4,4,12
197,Pharika's Mender,5,{3}{B}{G},Creature - Gorgon,Uncommon,,"When Pharika's Mender enters the battlefield, you may return target creature or enchantment card from your graveyard to your hand.",4,3,10
198,Polis Crusher,4,{2}{R}{G},Creature - Cyclops,Rare,"Trample, Protection, Monstrosity","Trample, protection from enchantments<br>{4}{R}{G}: Monstrosity 3. <i>(If this creature isn't monstrous, put three +1/+1 counters on it and it becomes monstrous.)</i><br>Whenever Polis Crusher deals combat damage to a player, if Polis Crusher is monstrous, destroy target enchantment that player controls.",4,4,13
199,Prophet of Kruphix,5,{3}{G}{U},Creature - Human Wizard,Rare,,Untap all creatures and lands you control during each other player's untap step.<br>You may cast creature cards as though they had flash.,2,3,9
200,Psychic Intrusion,5,{3}{U}{B},Sorcery,Rare,,"Target opponent reveals his or her hand. You choose a nonland card from that player's graveyard or hand and exile it. You may cast that card for as long as it remains exiled, and you may spend mana as though it were mana of any color to cast that spell.",,,8
201,Reaper of the Wilds,4,{2}{B}{G},Creature - Gorgon,Rare,"Scry, Deathtouch, Hexproof","Whenever another creature dies, scry 1. <i>(Look at the top card of your library. You may put that card on the bottom of your library.)</i><br>{B}: Reaper of the Wilds gains deathtouch until end of turn.<br>{1}{G}: Reaper of the Wilds gains hexproof until end of turn.",4,5,12
202,Sentry of the Underworld,5,{3}{W}{B},Creature - Griffin Skeleton,Uncommon,"Flying, Vigilance, Regeneration","Flying, vigilance<br>{W}{B}, Pay 3 life: Regenerate Sentry of the Underworld.",3,3,11
203,Shipwreck Singer,2,{U}{B},Creature - Siren,Uncommon,Flying,"Flying<br>{1}{U}: Target creature an opponent controls attacks this turn if able.<br>{1}{B}, {T}: Attacking creatures get -1/-1 until end of turn.",1,2,10
204,Spellheart Chimera,3,{1}{U}{R},Creature - Chimera,Uncommon,"Flying, Trample","Flying, trample<br>Spellheart Chimera's power is equal to the number of instant and sorcery cards in your graveyard.",*,3,7
205,Steam Augury,4,{2}{U}{R},Instant,Rare,,Reveal the top five cards of your library and separate them into two piles. An opponent chooses one of those piles. Put that pile into your hand and the other into your graveyard.,,,9
206,Triad of Fates,4,{2}{W}{B},Legendary Creature - Human Wizard,Rare,,"{1}, {T}: Put a fate counter on another target creature.<br>{W}, {T}: Exile target creature that has a fate counter on it, then return it to the battlefield under its owner's control.<br>{B}, {T}: Exile target creature that has a fate counter on it. Its controller draws two cards.",3,3,9
207,"Tymaret, the Murder King",2,{B}{R},Legendary Creature - Zombie Warrior,Rare,,"{1}{R}, Sacrifice another creature: Tymaret, the Murder King deals 2 damage to target player.<br>{1}{B}, Sacrifice a creature: Return Tymaret from your graveyard to your hand.",2,2,10
208,Underworld Cerberus,5,{3}{B}{R},Creature - Hound,Mythic Rare,,"Underworld Cerberus can't be blocked except by three or more creatures.<br>Cards in graveyards can't be the targets of spells or abilities.<br>When Underworld Cerberus dies, exile it and each player returns all creature cards from his or her graveyard to his or her hand.",6,6,12
209,"Xenagos, the Reveler",4,{2}{R}{G},Planeswalker - Xenagos,Mythic Rare,,"+1: Add X mana in any combination of {R} and/or {G} to your mana pool, where X is the number of creatures you control.<br>0: Put a 2/2 red and green Satyr creature token with haste onto the battlefield.<br>-6: Exile the top seven cards of your library. You may put any number of creature and/or land cards from among them onto the battlefield.",,3,12
210,Akroan Horse,4,{4},Artifact Creature - Horse,Rare,Defender,"Defender<br>When Akroan Horse enters the battlefield, an opponent gains control of it.<br>At the beginning of your upkeep, each opponent puts a 1/1 white Soldier creature token onto the battlefield.",0,4,6
211,Anvilwrought Raptor,4,{4},Artifact Creature - Bird,Uncommon,"Flying, First Strike","Flying, first strike",2,1,6
212,Bronze Sable,2,{2},Artifact Creature - Sable,Common,,,2,1,4
213,Burnished Hart,3,{3},Artifact Creature - Elk,Uncommon,,"{3}, Sacrifice Burnished Hart: Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle your library.",2,2,8
214,Colossus of Akros,8,{8},Artifact Creature - Golem,Rare,"Defender, Indestructible, Monstrosity, Trample","Defender, indestructible<br>{1}0: Monstrosity 10. <i>(If this creature isn't monstrous, put ten +1/+1 counters on it and it becomes monstrous.)</i><br>As long as Colossus of Akros is monstrous, it has trample and can attack as though it didn't have defender.",10,10,4
215,Flamecast Wheel,1,{1},Artifact,Uncommon,,"{5}, {T}, Sacrifice Flamecast Wheel: Flamecast Wheel deals 3 damage to target creature.",,,5
216,Fleetfeather Sandals,2,{2},Artifact - Equipment,Common,"Equip, Flying, Haste",Equipped creature has flying and haste.<br>Equip {2} <i>({2}: Attach to target creature you control. Equip only as a sorcery.)</i>,,,6
217,Guardians of Meletis,3,{3},Artifact Creature - Golem,Common,Defender,Defender,0,6,6
218,Opaline Unicorn,3,{3},Artifact Creature - Unicorn,Common,,{T}: Add one mana of any color to your mana pool.,1,2,7
219,Prowler's Helm,2,{2},Artifact - Equipment,Uncommon,Equip,Equipped creature can't be blocked except by Walls.<br>Equip {2},,,7
220,Pyxis of Pandemonium,1,{1},Artifact,Rare,,"{T}: Each player exiles the top card of his or her library face down.<br>{7}, {T}, Sacrifice Pyxis of Pandemonium: Each player turns face up all cards he or she owns exiled with Pyxis of Pandemonium, then puts all permanent cards among them onto the battlefield.",,,2
221,Traveler's Amulet,1,{1},Artifact,Common,,"{1}, Sacrifice Traveler's Amulet: Search your library for a basic land card, reveal it, and put it into your hand. Then shuffle your library.",,,8
222,Witches' Eye,1,{1},Artifact - Equipment,Uncommon,"Equip, Scry","Equipped creature has ""{1}, {T}: Scry 1."" <i>(To scry 1, look at the top card of your library, then you may put that card on the bottom of your library.)</i><br>Equip {1}",,,5
223,"Nykthos, Shrine to Nyx",0,,Legendary Land,Rare,Devotion,"{T}: Add {1} to your mana pool.<br>{2}, {T}: Choose a color. Add to your mana pool an amount of mana of that color equal to your devotion to that color. <i>(Your devotion to a color is the number of mana symbols of that color in the mana costs of permanents you control.)</i>",,,5
224,Temple of Abandon,0,,Land,Rare,Scry,"Temple of Abandon enters the battlefield tapped.<br>When Temple of Abandon enters the battlefield, scry 1. <i>(Look at the top card of your library. You may put that card on the bottom of your library.)</i><br>{T}: Add {R} or {G} to your mana pool.",,,9
225,Temple of Deceit,0,,Land,Rare,Scry,"Temple of Deceit enters the battlefield tapped.<br>When Temple of Deceit enters the battlefield, scry 1. <i>(Look at the top card of your library. You may put that card on the bottom of your library.)</i><br>{T}: Add {U} or {B} to your mana pool.",,,9
226,Temple of Mystery,0,,Land,Rare,Scry,"Temple of Mystery enters the battlefield tapped.<br>When Temple of Mystery enters the battlefield, scry 1. <i>(Look at the top card of your library. You may put that card on the bottom of your library.)</i><br>{T}: Add {G} or {U} to your mana pool.",,,9
227,Temple of Silence,0,,Land,Rare,Scry,"Temple of Silence enters the battlefield tapped.<br>When Temple of Silence enters the battlefield, scry 1. <i>(Look at the top card of your library. You may put that card on the bottom of your library.)</i><br>{T}: Add {W} or {B} to your mana pool.",,,9
228,Temple of Triumph,0,,Land,Rare,Scry,"Temple of Triumph enters the battlefield tapped.<br>When Temple of Triumph enters the battlefield, scry 1. <i>(Look at the top card of your library. You may put that card on the bottom of your library.)</i><br>{T}: Add {R} or {W} to your mana pool.",,,9
229,Unknown Shores,0,,Land,Common,,"{T}: Add {1} to your mana pool.<br>{1}, {T}: Add one mana of any color to your mana pool.",,,5
231,Plains,0,,Basic Land - Plains,Land,,W,,,0
235,Island,0,,Basic Land - Island,Land,,U,,,0
239,Swamp,0,,Basic Land - Swamp,Land,,B,,,0
243,Mountain,0,,Basic Land - Mountain,Land,,R,,,0
247,Forest,0,,Basic Land - Forest,Land,,G,,,0
